name,user_id,page_visited,device_id,item_id,device_type,event_ts
Thorin,6360,Recipes,0x100000000057d,182,mobile,2020-11-04T03:44:00.000+0000
Gandalf,4086,Recipes,0x1000000000365,162,desktop,2020-09-28T01:37:00.000+0000
Oin,481,Gardening,0x1000000000080,180,unknown,2020-07-25T11:47:00.000+0000
Bilbo,971,Home Decor,0x10000000006ab,187,mobile,2020-02-07T01:26:00.000+0000
Bilbo,971,Gardening,0x100000000008c,176,desktop,2020-07-05T01:45:00.000+0000
Dwalin,2305,Gardening,0x1000000000044,115,unknown,2020-01-24T22:31:00.000+0000
Thorin,6360,Recipes,0x1000000000285,132,mobile,2020-08-22T04:27:00.000+0000
Thorin,6360,Home Decor,0x100000000019b,174,desktop,2020-11-24T06:12:00.000+0000
Thorin,6360,Gardening,0x10000000002cc,146,unknown,2020-12-17T06:44:00.000+0000
Bilbo,971,Recipes,0x10000000001c1,123,mobile,2020-11-16T19:49:00.000+0000
Dwalin,2305,Recipes,0x100000000004d,129,desktop,2020-07-01T19:54:00.000+0000
Oin,481,Recipes,0x1000000000399,148,unknown,2020-03-02T04:30:00.000+0000
Oin,481,Gardening,0x1000000000070,164,mobile,2020-10-09T15:35:00.000+0000
Bilbo,971,Home Decor,0x1000000000607,179,desktop,2020-05-31T19:52:00.000+0000
Oin,481,Lifestyle,0x100000000054a,185,unknown,2020-03-22T07:15:00.000+0000
Gandalf,4086,Gardening,0x1000000000554,180,mobile,2020-04-08T11:21:00.000+0000
Gandalf,4086,Lifestyle,0x1000000000186,119,desktop,2020-06-11T20:17:00.000+0000
Bilbo,971,Lifestyle,0x100000000067a,121,unknown,2020-09-29T01:01:00.000+0000
Bilbo,971,Lifestyle,0x1000000000226,100,mobile,2020-08-09T11:31:00.000+0000
Bilbo,971,Gardening,0x10000000004b4,186,desktop,2020-12-17T05:51:00.000+0000
Gandalf,4086,Home Decor,0x1000000000307,173,unknown,2020-10-26T00:21:00.000+0000
Oin,481,Home Decor,0x100000000022f,161,mobile,2020-03-05T15:35:00.000+0000
Bilbo,971,Recipes,0x10000000000d1,141,desktop,2020-03-23T12:16:00.000+0000
Thorin,6360,Gardening,0x1000000000304,163,unknown,2020-11-11T02:00:00.000+0000
Bilbo,971,Lifestyle,0x10000000000c6,195,mobile,2020-12-09T07:54:00.000+0000
Bilbo,971,Gardening,0x1000000000664,153,desktop,2020-06-30T03:44:00.000+0000
Thorin,6360,Gardening,0x1000000000578,117,unknown,2020-02-16T04:15:00.000+0000
Bilbo,971,Lifestyle,0x10000000004e2,141,mobile,2020-06-10T13:07:00.000+0000
Kimberly,9173,Gardening,0x1000000000108,151,desktop,2020-10-28T03:30:00.000+0000
Thorin,6360,Gardening,0x1000000000190,140,unknown,2020-08-01T09:42:00.000+0000
Bilbo,971,Gardening,0x1000000000300,187,mobile,2020-02-16T20:39:00.000+0000
Thorin,6360,Gardening,0x10000000000e4,104,desktop,2020-09-06T09:02:00.000+0000
Thorin,6360,Recipes,0x10000000004c9,199,unknown,2020-12-08T22:05:00.000+0000
Bilbo,971,Gardening,0x10000000004f0,174,mobile,2020-07-03T07:13:00.000+0000
Thorin,6360,Gardening,0x100000000064c,146,desktop,2020-04-10T11:33:00.000+0000
Gloin,9547,Lifestyle,0x1000000000142,195,unknown,2020-06-28T22:00:00.000+0000
Dwalin,2305,Recipes,0x10000000006d1,142,mobile,2020-09-11T04:42:00.000+0000
Gloin,9547,Recipes,0x10000000005e5,146,desktop,2020-09-28T18:08:00.000+0000
Gandalf,4086,Lifestyle,0x10000000002fe,111,unknown,2020-02-04T03:09:00.000+0000
Bilbo,971,Home Decor,0x1000000000407,184,mobile,2020-12-26T01:05:00.000+0000
Gloin,9547,Recipes,0x1000000000181,155,desktop,2020-07-14T09:04:00.000+0000
Gandalf,4086,Home Decor,0x100000000035f,183,unknown,2020-01-10T22:46:00.000+0000
Bilbo,971,Gardening,0x1000000000620,173,mobile,2020-04-14T02:11:00.000+0000
Oin,481,Recipes,0x1000000000401,107,desktop,2020-02-23T19:28:00.000+0000
Thorin,6360,Lifestyle,0x100000000069e,111,unknown,2020-06-19T13:32:00.000+0000
Thorin,6360,Home Decor,0x10000000003e3,158,mobile,2020-12-08T03:18:00.000+0000
Dwalin,2305,Lifestyle,0x100000000023e,100,desktop,2020-09-01T02:03:00.000+0000
Kimberly,9173,Home Decor,0x10000000004ab,179,unknown,2020-07-16T12:22:00.000+0000
Kimberly,9173,Gardening,0x1000000000058,116,mobile,2020-01-30T01:25:00.000+0000
